group,seed,survived,refresh,eat,divide,pop,energy
g2_opt_gate,7085,true,0.014634,0.220523,0.016472,115.75,37.24
g3_nonopt_nogate,7085,true,0.175059,0.208726,0.044878,10.31,73.32
g4_nonopt_gate_exp,7085,true,0.016305,0.206186,0.021302,29.64,27.57
g4_nonopt_gate_ctrl,7085,true,0.017020,0.225996,0.021272,28.53,28.58
g2_opt_gate,7086,true,0.020858,0.224799,0.017106,114.96,36.89
g3_nonopt_nogate,7086,true,0.031171,0.407766,0.098480,24.38,27.67
g4_nonopt_gate_exp,7086,true,0.008457,0.299777,0.022098,30.51,26.74
g4_nonopt_gate_ctrl,7086,true,0.072335,0.231905,0.075987,28.77,25.12
g2_opt_gate,7087,true,0.014903,0.200309,0.019195,129.69,32.12
g3_nonopt_nogate,7087,true,0.224459,0.152504,0.096081,32.03,24.26
g4_nonopt_gate_exp,7087,true,0.009219,0.267954,0.021283,28.47,28.60
g4_nonopt_gate_ctrl,7087,true,0.040384,0.290334,0.018803,23.30,35.52
g2_opt_gate,7088,true,0.015196,0.218758,0.016026,113.41,37.87
g3_nonopt_nogate,7088,true,0.043545,0.254931,0.093442,27.52,30.57
g4_nonopt_gate_exp,7088,true,0.009133,0.228624,0.020031,28.18,30.67
g4_nonopt_gate_ctrl,7088,true,0.016956,0.213746,0.021222,28.73,28.43
g2_opt_gate,7089,true,0.008483,0.162071,0.021961,148.32,28.98
g3_nonopt_nogate,7089,true,0.018910,0.329572,0.126892,16.01,22.54
g4_nonopt_gate_exp,7089,true,0.016977,0.283588,0.021239,28.45,28.81
g4_nonopt_gate_ctrl,7089,true,0.026217,0.203425,0.020219,27.34,30.38
g2_opt_gate,7090,true,0.021958,0.218195,0.014050,96.26,42.80
g3_nonopt_nogate,7090,true,0.009050,0.273031,0.096111,29.05,24.03
g4_nonopt_gate_exp,7090,true,0.008485,0.305557,0.022074,30.55,26.67
g4_nonopt_gate_ctrl,7090,true,0.019740,0.247894,0.091756,26.22,27.54
g2_opt_gate,7091,true,0.029108,0.343300,0.058548,114.86,31.77
g3_nonopt_nogate,7091,true,0.012350,0.274020,0.103874,23.55,25.20
g4_nonopt_gate_exp,7091,true,0.009439,0.210716,0.020694,27.41,30.27
g4_nonopt_gate_ctrl,7091,true,0.017003,0.298814,0.021239,28.49,28.80
g2_opt_gate,7092,true,0.178652,0.196292,0.076983,154.00,24.95
g3_nonopt_nogate,7092,true,0.224475,0.152522,0.096067,31.99,24.28
g4_nonopt_gate_exp,7092,true,0.016962,0.298885,0.021234,28.39,28.93
g4_nonopt_gate_ctrl,7092,true,0.008444,0.305402,0.022090,30.21,26.56
g2_opt_gate,7093,true,0.023141,0.219155,0.014700,99.37,41.72
g3_nonopt_nogate,7093,true,0.009159,0.364242,0.095937,28.36,24.44
g4_nonopt_gate_exp,7093,true,0.008476,0.305586,0.022077,30.38,26.49
g4_nonopt_gate_ctrl,7093,true,0.008489,0.305188,0.022079,29.71,26.85
g2_opt_gate,7094,true,0.010244,0.220656,0.017169,121.53,35.87
g3_nonopt_nogate,7094,true,0.129808,0.246845,0.082556,19.77,32.67
g4_nonopt_gate_exp,7094,true,0.207399,0.124389,0.049694,31.00,41.66
g4_nonopt_gate_ctrl,7094,true,0.009534,0.221104,0.018157,26.65,34.13
g2_opt_gate,7095,true,0.016799,0.219525,0.016263,115.23,37.48
g3_nonopt_nogate,7095,true,0.025367,0.270971,0.097145,29.49,23.71
g4_nonopt_gate_exp,7095,true,0.017035,0.298757,0.021254,28.20,29.07
g4_nonopt_gate_ctrl,7095,true,0.016975,0.231250,0.021225,28.60,28.60
g2_opt_gate,7096,true,0.035132,0.217200,0.018363,100.09,37.48
g3_nonopt_nogate,7096,true,0.017381,0.170807,0.150939,29.68,20.76
g4_nonopt_gate_exp,7096,true,0.016695,0.263310,0.021245,29.10,28.42
g4_nonopt_gate_ctrl,7096,true,0.007904,0.204235,0.022114,32.52,26.35
g2_opt_gate,7097,true,0.032411,0.298884,0.057463,114.91,33.85
g3_nonopt_nogate,7097,true,0.024886,0.340962,0.158985,28.47,22.72
g4_nonopt_gate_exp,7097,true,0.100783,0.177858,0.088285,21.71,23.90
g4_nonopt_gate_ctrl,7097,true,0.017023,0.298774,0.021246,28.40,28.77
g2_opt_gate,7098,true,0.185494,0.183699,0.063256,107.07,38.31
g3_nonopt_nogate,7098,true,0.009031,0.273128,0.096485,28.96,24.00
g4_nonopt_gate_exp,7098,true,0.027365,0.273432,0.019885,25.68,32.22
g4_nonopt_gate_ctrl,7098,true,0.016499,0.206227,0.021282,29.63,27.69
g2_opt_gate,7099,true,0.032055,0.215145,0.014681,100.75,42.97
g3_nonopt_nogate,7099,true,0.034897,0.255287,0.094761,21.66,32.56
g4_nonopt_gate_exp,7099,true,0.167659,0.175803,0.079929,32.62,23.72
g4_nonopt_gate_ctrl,7099,true,0.016305,0.208949,0.021300,29.34,27.93
