tick,cpu_usage,food_injected
31900,0.6275,280
32000,0.2851,400
32100,0.3032,393
32200,1.0000,150
32300,1.0000,150
32400,0.6399,276
32500,1.0000,150
32600,0.6430,274
32700,1.0000,150
32800,1.0000,150
32900,0.6305,279
33000,1.0000,150
33100,0.6387,276
33200,1.0000,150
33300,0.6456,274
33400,1.0000,150
33500,0.6058,287
33600,1.0000,150
33700,1.0000,150
33800,0.6519,271
33900,1.0000,150
34000,0.6713,265
34100,0.3417,380
34200,1.0000,150
34300,1.0000,150
34400,1.0000,150
34500,0.7201,247
34600,0.4109,356
34700,1.0000,150
34800,1.0000,150
34900,0.6447,274
35000,0.2696,405
35100,1.0000,150
35200,1.0000,150
35300,0.7569,235
35400,1.0000,150
35500,1.0000,150
35600,0.6624,268
35700,0.2617,408
35800,1.0000,150
35900,0.6393,276
36000,1.0000,150
36100,1.0000,150
36200,0.6286,280
36300,1.0000,150
36400,0.6344,277
36500,1.0000,150
36600,0.6608,268
36700,1.0000,150
36800,0.6503,272
36900,0.3200,388
37000,0.2762,403
37100,1.0000,150
37200,1.0000,150
37300,0.5121,320
37400,0.6313,279
37500,1.0000,150
37600,0.6007,289
37700,1.0000,150
37800,0.6482,273
37900,1.0000,150
38000,1.0000,150
38100,0.7538,236
38200,1.0000,150
38300,0.6134,285
38400,1.0000,150
38500,1.0000,150
38600,0.6495,272
38700,1.0000,150
38800,1.0000,150
38900,0.7524,236
39000,1.0000,150
39100,0.6180,283
39200,0.2434,414
39300,1.0000,150
39400,1.0000,150
39500,0.6385,276
39600,1.0000,150
39700,0.6507,272
39800,1.0000,150
39900,0.6392,276
40000,1.0000,150
40100,1.0000,150
40200,0.5540,306
40300,0.1286,454
40400,0.2143,425
40500,0.2388,416
40600,0.2673,406
40700,0.3671,371
40800,0.2372,416
40900,0.2725,404
41000,0.2846,400
41100,0.3537,376
41200,0.0000,500
41300,0.1404,450
41400,0.1779,437
41500,0.2658,406
41600,0.3395,381
41700,0.3202,387
41800,0.2954,396
41900,0.3178,388
42000,0.1797,437
42100,1.0000,150
42200,0.2432,414
42300,0.2449,414
42400,0.3129,390
42500,0.2971,396
42600,1.0000,150
42700,0.6353,277
42800,1.0000,150
42900,1.0000,150
43000,0.6229,281
43100,1.0000,150
43200,0.6249,281
43300,0.2970,396
43400,1.0000,150
43500,0.6366,277
43600,1.0000,150
43700,1.0000,150
43800,0.6361,277
43900,1.0000,150
44000,0.5722,299
44100,1.0000,150
44200,0.6333,278
44300,1.0000,150
44400,1.0000,150
44500,0.6064,287
44600,1.0000,150
44700,1.0000,150
44800,0.7505,237
44900,1.0000,150
45000,0.6411,275
45100,1.0000,150
45200,1.0000,150
45300,0.6550,270
45400,1.0000,150
45500,0.6336,278
45600,1.0000,150
45700,0.2973,395
45800,1.0000,150
45900,0.6608,268
46000,1.0000,150
46100,1.0000,150
46200,0.6519,271
46300,1.0000,150
46400,0.6464,273
46500,1.0000,150
46600,1.0000,150
46700,0.6403,275
46800,0.3366,382
46900,1.0000,150
47000,0.6475,273
47100,1.0000,150
47200,0.5354,312
47300,0.2643,407
47400,1.0000,150
47500,1.0000,150
47600,0.6445,274
47700,1.0000,150
47800,1.0000,150
47900,1.0000,150
48000,0.7617,233
48100,1.0000,150
48200,0.5985,290
48300,1.0000,150
48400,0.6260,280
48500,1.0000,150
48600,0.5983,290
48700,0.2920,397
48800,0.2954,396
48900,1.0000,150
49000,1.0000,150
49100,0.6199,283
49200,1.0000,150
49300,0.6738,264
49400,1.0000,150
49500,0.6432,274
49600,1.0000,150
49700,1.0000,150
49800,0.6563,270
49900,1.0000,150
50000,0.6465,273
50100,0.1976,430
50200,1.0000,150
50300,1.0000,150
50400,0.6294,279
50500,1.0000,150
50600,0.6424,275
50700,1.0000,150
50800,0.6354,277
50900,1.0000,150
51000,1.0000,150
51100,0.6618,268
51200,1.0000,150
51300,0.6407,275
51400,1.0000,150
51500,1.0000,150
51600,0.7534,236
51700,1.0000,150
51800,1.0000,150
51900,0.6255,281
52000,1.0000,150
52100,0.5859,294
52200,1.0000,150
52300,0.5850,295
52400,0.2450,414
52500,1.0000,150
52600,1.0000,150
52700,0.7418,240
52800,0.2920,397
52900,0.2992,395
53000,0.2786,402
53100,1.0000,150
53200,0.2843,400
53300,0.2959,396
53400,0.2830,400
53500,0.3300,384
53600,1.0000,150
53700,0.3194,388
53800,0.3159,389
53900,0.3116,390
54000,0.3249,386
54100,1.0000,150
54200,0.3700,370
54300,0.3375,381
54400,0.3433,379
54500,0.2914,398
54600,1.0000,150
54700,0.3260,385
54800,0.3008,394
54900,0.3075,392
55000,0.2853,400
55100,0.3170,389
55200,0.3306,384
55300,1.0000,150
55400,0.2751,403
55500,1.0000,150
55600,0.6335,278
55700,0.3172,388
55800,0.3051,393
55900,1.0000,150
56000,1.0000,150
56100,1.0000,150
56200,0.7664,231
56300,0.3207,387
56400,0.2676,406
56500,0.2983,395
56600,1.0000,150
56700,1.0000,150
56800,1.0000,150
56900,0.7594,234
57000,1.0000,150
57100,0.6372,276
57200,1.0000,150
57300,1.0000,150
57400,0.6440,274
57500,0.3468,378
57600,1.0000,150
57700,0.6430,274
57800,1.0000,150
57900,1.0000,150
58000,0.6391,276
58100,1.0000,150
58200,0.5925,292
58300,1.0000,150
58400,1.0000,150
58500,0.7655,232
58600,1.0000,150
58700,1.0000,150
58800,0.6582,269
58900,1.0000,150
59000,0.6572,269
59100,1.0000,150
59200,1.0000,150
59300,0.6330,278
59400,0.1514,447
59500,1.0000,150
59600,0.6417,275
59700,1.0000,150
59800,0.5880,294
59900,1.0000,150
60000,0.6298,279
60100,1.0000,150
60200,1.0000,150
60300,0.5994,290
60400,1.0000,150
60500,0.6622,268
60600,1.0000,150
60700,0.6514,272
60800,0.2890,398
60900,1.0000,150
61000,1.0000,150
61100,0.6431,274
61200,1.0000,150
61300,0.6413,275
61400,1.0000,150
61500,1.0000,150
61600,0.6418,275
61700,0.2245,421
61800,0.2504,412
61900,1.0000,150
62000,0.6332,278
62100,1.0000,150
62200,0.6433,274
62300,1.0000,150
62400,1.0000,150
62500,1.0000,150
62600,0.7746,228
62700,1.0000,150
62800,0.6348,277
62900,0.3599,374
63000,1.0000,150
63100,1.0000,150
63200,0.6304,279
63300,1.0000,150
63400,0.6735,264
63500,1.0000,150
63600,1.0000,150
63700,0.5383,311
63800,0.5770,298
63900,0.0000,500
64000,0.2371,417
64100,1.0000,150
64200,0.6278,280
64300,0.3063,392
64400,1.0000,150
64500,1.0000,150
64600,0.6461,273
64700,1.0000,150
64800,0.6439,274
64900,1.0000,150
65000,1.0000,150
65100,0.6463,273
65200,1.0000,150
65300,1.0000,150
65400,0.4852,330
65500,0.6162,284
65600,1.0000,150
65700,0.5985,290
65800,1.0000,150
65900,0.5844,295
66000,1.0000,150
66100,1.0000,150
66200,0.6979,255
66300,1.0000,150
66400,0.5690,300
66500,1.0000,150
66600,0.6399,276
66700,1.0000,150
66800,0.6344,277
66900,1.0000,150
67000,0.6199,283
67100,1.0000,150
67200,1.0000,150
67300,0.7548,235
67400,1.0000,150
67500,1.0000,150
67600,0.6171,284
67700,1.0000,150
67800,0.6811,261
67900,1.0000,150
68000,0.6737,264
68100,1.0000,150
68200,0.2864,399
68300,1.0000,150
68400,0.6481,273
68500,1.0000,150
68600,1.0000,150
68700,0.6525,271
68800,1.0000,150
68900,0.6453,274
69000,1.0000,150
69100,0.6590,269
69200,1.0000,150
69300,0.3459,378
69400,1.0000,150
69500,0.6927,257
69600,0.3460,378
69700,1.0000,150
69800,1.0000,150
69900,0.6411,275
70000,1.0000,150
70100,0.6327,278
70200,1.0000,150
70300,1.0000,150
70400,1.0000,150
70500,0.7253,246
70600,1.0000,150
70700,0.6042,288
70800,1.0000,150
70900,1.0000,150
71000,0.7538,236
71100,1.0000,150
71200,1.0000,150
71300,0.7634,232
71400,0.3023,394
71500,1.0000,150
71600,1.0000,150
71700,0.6269,280
71800,1.0000,150
71900,1.0000,150
72000,0.7627,233
72100,1.0000,150
72200,0.6171,284
72300,1.0000,150
72400,1.0000,150
72500,0.6496,272
72600,1.0000,150
72700,0.6335,278
72800,0.2545,410
72900,1.0000,150
73000,0.6211,282
73100,1.0000,150
73200,1.0000,150
73300,0.6267,280
73400,1.0000,150
73500,0.6331,278
73600,1.0000,150
73700,1.0000,150
73800,0.6243,281
73900,1.0000,150
74000,0.5231,316
74100,1.0000,150
74200,0.7084,252
74300,1.0000,150
74400,0.6292,279
74500,1.0000,150
74600,1.0000,150
74700,0.5951,291
74800,1.0000,150
74900,0.6108,286
75000,0.2676,406
75100,1.0000,150
75200,0.6251,281
75300,1.0000,150
75400,1.0000,150
75500,1.0000,150
75600,0.7649,232
75700,1.0000,150
75800,0.5755,298
75900,1.0000,150
76000,0.6304,279
76100,1.0000,150
76200,0.3250,386
76300,0.2747,403
76400,1.0000,150
76500,1.0000,150
76600,0.7543,236
76700,1.0000,150
76800,1.0000,150
76900,1.0000,150
77000,0.7597,234
77100,1.0000,150
77200,0.6475,273
77300,0.2742,404
77400,1.0000,150
77500,0.6360,277
77600,1.0000,150
77700,1.0000,150
77800,0.6205,282
77900,0.2782,402
78000,1.0000,150
78100,0.6424,275
78200,1.0000,150
78300,1.0000,150
78400,0.6412,275
78500,1.0000,150
78600,0.6385,276
78700,1.0000,150
78800,0.5972,290
78900,0.2077,427
79000,1.0000,150
79100,1.0000,150
79200,0.7431,239
79300,1.0000,150
79400,0.6204,282
79500,0.2710,405
79600,1.0000,150
79700,0.6502,272
79800,1.0000,150
79900,0.6419,275
80000,1.0000,150
80100,0.6320,278
80200,1.0000,150
80300,1.0000,150
80400,0.5900,293
80500,1.0000,150
80600,0.6023,289
80700,1.0000,150
80800,1.0000,150
80900,0.7621,233
81000,1.0000,150
81100,0.6428,275
81200,1.0000,150
81300,1.0000,150
81400,0.6494,272
81500,1.0000,150
81600,0.6506,272
81700,1.0000,150
81800,0.3083,392
81900,1.0000,150
82000,0.6045,288
82100,1.0000,150
82200,0.6115,285
82300,1.0000,150
82400,0.6298,279
82500,1.0000,150
82600,1.0000,150
82700,1.0000,150
82800,0.7789,227
82900,1.0000,150
83000,0.6353,277
83100,0.2950,396
83200,1.0000,150
