tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
44000,16,817.25,4.88,33993.19,255.00,4238,4081,432,16020,0.264544,0.254744,0.026966,0.000000,0.000000,420
45000,16,819.12,4.88,34815.25,255.00,4238,4072,432,16018,0.264577,0.254214,0.026970,0.000000,0.000000,429
46000,16,820.06,4.88,35624.31,255.00,4249,4072,433,16020,0.265231,0.254182,0.027029,0.000000,0.000000,439
47000,16,818.00,4.88,36433.38,255.00,4239,4082,431,16020,0.264607,0.254806,0.026904,0.000000,0.000000,449
48000,16,819.31,4.88,37255.44,255.00,4237,4071,432,16018,0.264515,0.254152,0.026970,0.000000,0.000000,458
49000,16,820.31,4.88,38064.50,255.00,4249,4071,432,16020,0.265231,0.254120,0.026966,0.000000,0.000000,468
50000,16,821.75,4.88,38886.56,255.00,4238,4080,433,16018,0.264577,0.254713,0.027032,0.000000,0.000000,477
51000,16,819.75,4.88,39695.62,255.00,4238,4073,431,16020,0.264544,0.254245,0.026904,0.000000,0.000000,487
52000,16,818.75,4.88,40492.50,255.00,4249,4073,432,16020,0.265231,0.254245,0.026966,0.000000,0.000000,497
53000,16,819.44,4.88,41314.56,255.00,4237,4080,433,16018,0.264515,0.254713,0.027032,0.000000,0.000000,506
54000,16,818.12,4.88,42123.62,255.00,4239,4072,432,16020,0.264607,0.254182,0.026966,0.000000,0.000000,516
55000,16,822.88,4.88,42945.69,255.00,4249,4072,432,16018,0.265264,0.254214,0.026970,0.000000,0.000000,525
56000,16,820.31,4.88,43754.75,255.00,4238,4081,431,16020,0.264544,0.254744,0.026904,0.000000,0.000000,535
57000,16,817.81,4.88,44563.81,255.00,4237,4072,433,16020,0.264482,0.254182,0.027029,0.000000,0.000000,545
58000,16,822.06,4.88,45385.88,255.00,4248,4071,432,16018,0.265202,0.254152,0.026970,0.000000,0.000000,554
59000,16,820.00,4.88,46194.94,255.00,4239,4082,432,16020,0.264607,0.254806,0.026966,0.000000,0.000000,564
60000,16,816.81,4.88,46991.81,255.00,4239,4072,432,16020,0.264607,0.254182,0.026966,0.000000,0.000000,574
61000,16,821.00,4.88,47813.88,255.00,4248,4072,431,16018,0.265202,0.254214,0.026907,0.000000,0.000000,583
62000,16,818.38,4.88,48622.94,255.00,4238,4081,433,16020,0.264544,0.254744,0.027029,0.000000,0.000000,593
63000,16,820.44,4.88,49445.00,255.00,4238,4070,433,16018,0.264577,0.254089,0.027032,0.000000,0.000000,602
64000,16,821.38,4.88,50254.06,255.00,4249,4073,431,16020,0.265231,0.254245,0.026904,0.000000,0.000000,612
65000,16,818.12,4.88,51063.12,255.00,4237,4081,432,16020,0.264482,0.254744,0.026966,0.000000,0.000000,622
66000,16,820.06,4.88,51885.19,255.00,4238,4072,432,16018,0.264577,0.254214,0.026970,0.000000,0.000000,631
67000,16,821.62,4.88,52694.25,255.00,4250,4071,433,16020,0.265293,0.254120,0.027029,0.000000,0.000000,641
68000,16,820.44,4.88,53504.12,255.00,4237,4082,432,16018,0.264515,0.254838,0.026970,0.000000,0.000000,650
69000,16,819.00,4.88,54313.19,255.00,4239,4073,431,16020,0.264607,0.254245,0.026904,0.000000,0.000000,660
70000,16,819.38,4.88,55122.25,255.00,4248,4070,433,16020,0.265169,0.254057,0.027029,0.000000,0.000000,670
71000,16,820.19,4.88,55944.31,255.00,4237,4081,431,16018,0.264515,0.254776,0.026907,0.000000,0.000000,679
72000,16,818.81,4.88,56753.38,255.00,4239,4072,433,16020,0.264607,0.254182,0.027029,0.000000,0.000000,689
73000,16,819.69,4.88,57562.44,255.00,4249,4073,431,16020,0.265231,0.254245,0.026904,0.000000,0.000000,699
74000,16,821.50,4.88,58384.50,255.00,4239,4082,423,16018,0.264640,0.254838,0.026408,0.000000,0.000000,708
75000,16,849.44,4.88,59246.38,255.00,4260,4094,289,16010,0.266084,0.255715,0.018051,0.000000,0.000000,718
76000,16,880.81,4.88,60126.94,255.00,4273,4095,287,16009,0.266912,0.255794,0.017927,0.000000,0.000000,727
77000,16,878.88,4.88,61001.00,255.00,4260,4102,288,16010,0.266084,0.256215,0.017989,0.000000,0.000000,737
78000,16,876.81,4.88,61875.06,255.00,4259,4095,287,16010,0.266021,0.255778,0.017926,0.000000,0.000000,747
79000,16,880.62,4.88,62755.62,255.00,4272,4095,289,16009,0.266850,0.255794,0.018052,0.000000,0.000000,756
80000,16,878.75,4.88,63629.69,255.00,4260,4102,288,16010,0.266084,0.256215,0.017989,0.000000,0.000000,766
81000,16,879.62,4.88,64510.25,255.00,4261,4096,287,16009,0.266163,0.255856,0.017927,0.000000,0.000000,775
82000,16,880.94,4.88,65384.31,255.00,4271,4094,288,16010,0.266771,0.255715,0.017989,0.000000,0.000000,785
83000,16,877.19,4.88,66246.19,255.00,4260,4103,288,16010,0.266084,0.256277,0.017989,0.000000,0.000000,795
84000,16,878.19,4.88,67126.75,255.00,4261,4094,288,16009,0.266163,0.255731,0.017990,0.000000,0.000000,804
85000,16,879.62,4.88,68000.81,255.00,4271,4095,288,16010,0.266771,0.255778,0.017989,0.000000,0.000000,814
86000,16,877.62,4.88,68874.88,255.00,4260,4103,287,16010,0.266084,0.256277,0.017926,0.000000,0.000000,824
87000,16,878.00,4.88,69755.44,255.00,4260,4094,288,16009,0.266100,0.255731,0.017990,0.000000,0.000000,833
88000,16,879.94,4.88,70629.50,255.00,4272,4095,288,16010,0.266833,0.255778,0.017989,0.000000,0.000000,843
89000,16,880.56,4.88,71510.06,255.00,4261,4102,288,16009,0.266163,0.256231,0.017990,0.000000,0.000000,852
90000,16,878.94,4.88,72384.12,255.00,4260,4096,287,16010,0.266084,0.255840,0.017926,0.000000,0.000000,862
91000,16,879.06,4.88,73246.00,255.00,4272,4094,288,16010,0.266833,0.255715,0.017989,0.000000,0.000000,872
92000,16,877.94,4.88,74126.56,255.00,4258,4102,289,16009,0.265975,0.256231,0.018052,0.000000,0.000000,881
93000,16,877.62,4.88,75000.62,255.00,4262,4095,287,16010,0.266209,0.255778,0.017926,0.000000,0.000000,891
94000,16,881.44,4.88,75881.19,255.00,4272,4095,288,16009,0.266850,0.255794,0.017990,0.000000,0.000000,900
95000,16,878.88,4.88,76755.25,255.00,4259,4103,287,16010,0.266021,0.256277,0.017926,0.000000,0.000000,910
96000,16,877.88,4.88,77629.31,255.00,4261,4095,289,16010,0.266146,0.255778,0.018051,0.000000,0.000000,920
97000,16,881.19,4.88,78509.88,255.00,4271,4094,288,16009,0.266787,0.255731,0.017990,0.000000,0.000000,929
98000,16,879.81,4.88,79383.94,255.00,4261,4103,287,16010,0.266146,0.256277,0.017926,0.000000,0.000000,939
99000,16,876.56,4.88,80245.81,255.00,4260,4094,288,16010,0.266084,0.255715,0.017989,0.000000,0.000000,949
100000,15,935.00,4.67,86530.27,255.00,4202,4032,218,15554,0.270156,0.259226,0.014016,0.000000,0.000000,708
