tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,12,95.75,13.42,8.58,255.00,39,0.149984,0.145666,0.139671,0.098312,28023
2000,12,95.75,13.42,8.58,255.00,79,0.145692,0.141900,0.135272,0.103240,27160
3000,12,95.75,13.42,8.58,255.00,119,0.145692,0.141605,0.135125,0.103387,27160
4000,11,113.91,13.36,8.55,255.00,155,0.146079,0.142032,0.135337,0.102229,27184
5000,12,106.50,13.42,8.58,255.00,8,0.147321,0.142336,0.135826,0.095089,26880
6000,13,105.46,13.46,8.62,255.00,4,0.147165,0.142310,0.136176,0.089336,27391
7000,13,106.23,13.46,8.62,255.00,4,0.146506,0.142425,0.136705,0.086424,27446
8000,15,102.93,13.53,8.67,255.00,4,0.146421,0.141836,0.136529,0.082560,27701
9000,14,108.86,13.50,8.64,255.00,4,0.151516,0.143312,0.137637,0.082734,27667
10000,21,77.19,13.67,8.76,255.00,4,0.152312,0.143085,0.137439,0.081313,27634
11000,17,95.18,13.59,8.71,255.00,4,0.152304,0.142225,0.137329,0.077646,27780
12000,26,62.31,13.73,8.81,255.00,4,0.152412,0.142551,0.137513,0.077992,27990
13000,25,63.80,13.72,8.80,255.00,4,0.151531,0.142021,0.137798,0.079066,28179
14000,29,53.03,13.76,8.83,255.00,4,0.151747,0.141863,0.136832,0.078317,28027
15000,20,83.85,13.65,8.75,255.00,4,0.151571,0.141559,0.137070,0.078707,28066
16000,23,69.87,13.70,8.78,255.00,4,0.151807,0.142218,0.137531,0.078390,27950
17000,21,78.19,13.67,8.76,255.00,4,0.152278,0.142391,0.137233,0.078414,27916
18000,23,70.35,13.70,8.78,255.00,4,0.151787,0.142526,0.137353,0.077955,27644
19000,26,61.27,13.73,8.81,255.00,4,0.151694,0.142324,0.137356,0.078454,28386
20000,25,68.04,13.72,8.80,255.00,4,0.151336,0.142403,0.141509,0.075436,27984
21000,30,55.93,13.77,8.83,255.00,4,0.151602,0.142234,0.142305,0.074836,27968
22000,27,59.74,13.74,8.81,255.00,4,0.151485,0.142728,0.142260,0.074481,27752
23000,28,60.82,13.75,8.82,255.00,4,0.151499,0.142729,0.142262,0.073970,27822
24000,29,57.07,13.76,8.83,255.00,4,0.151683,0.142405,0.142369,0.074439,27808
25000,25,68.36,13.72,8.80,255.00,4,0.151549,0.142514,0.142191,0.074609,27892
26000,20,85.95,13.65,8.75,255.00,4,0.151428,0.142641,0.142353,0.074616,27769
27000,27,59.70,13.74,8.81,255.00,4,0.151446,0.142631,0.142415,0.074302,27792
28000,30,55.40,13.77,8.83,255.00,4,0.150800,0.142087,0.141837,0.074489,28004
29000,27,63.07,13.74,8.81,255.00,4,0.151935,0.142801,0.142117,0.074655,27808
30000,26,64.23,13.73,8.81,255.00,4,0.151365,0.142480,0.142159,0.075040,28025
31000,27,62.52,13.74,8.81,255.00,4,0.151355,0.141976,0.142083,0.074929,28040
32000,28,60.75,13.75,8.82,255.00,4,0.151647,0.142439,0.142046,0.074806,28019
33000,24,71.88,13.71,8.79,255.00,4,0.151301,0.142458,0.142637,0.074505,27931
34000,28,59.96,13.75,8.82,255.00,4,0.151876,0.142622,0.141908,0.074920,27990
35000,28,60.50,13.75,8.82,255.00,4,0.151671,0.142688,0.142508,0.073769,27830
36000,28,60.14,13.75,8.82,255.00,4,0.151784,0.142684,0.142113,0.074839,28020
37000,27,62.30,13.74,8.81,255.00,4,0.151703,0.142643,0.142393,0.074657,28035
38000,27,61.78,13.74,8.81,255.00,4,0.151477,0.142449,0.142128,0.075150,28024
39000,27,64.04,13.74,8.81,255.00,4,0.151589,0.142617,0.142331,0.074526,27977
40000,28,60.50,13.75,8.82,255.00,4,0.151390,0.142184,0.142149,0.074963,28027
41000,27,61.89,13.74,8.81,255.00,4,0.151755,0.142740,0.142561,0.074482,27953
42000,31,54.48,13.77,8.84,255.00,4,0.150853,0.142448,0.142484,0.074354,27961
43000,28,60.14,13.75,8.82,255.00,4,0.151208,0.142597,0.142704,0.074603,27988
44000,28,60.46,13.75,8.82,255.00,4,0.151018,0.142356,0.142356,0.074596,27937
45000,21,81.00,13.67,8.76,255.00,4,0.151316,0.142292,0.142149,0.074624,28034
46000,28,60.75,13.75,8.82,255.00,4,0.151847,0.142336,0.141943,0.074869,27969
47000,22,78.59,13.68,8.77,255.00,4,0.150941,0.142197,0.142018,0.074897,27905
48000,25,66.20,13.72,8.80,255.00,4,0.151584,0.142617,0.142331,0.074917,27991
49000,30,56.47,13.77,8.83,255.00,4,0.151561,0.142311,0.142026,0.074888,28002
50000,27,63.07,13.74,8.81,255.00,4,0.151924,0.142626,0.142016,0.074706,27856
51000,25,67.00,13.72,8.80,255.00,4,0.151586,0.142282,0.142032,0.074866,28050
52000,26,64.50,13.73,8.81,255.00,4,0.151597,0.142647,0.142182,0.074850,27936
53000,27,64.30,13.74,8.81,255.00,4,0.151389,0.142429,0.142429,0.074534,28014
54000,23,75.22,13.70,8.78,255.00,4,0.151435,0.142368,0.142153,0.075218,28012
55000,26,63.38,13.73,8.81,255.00,4,0.151701,0.142608,0.142180,0.074460,28042
56000,29,58.21,13.76,8.83,255.00,4,0.151593,0.142474,0.142152,0.074777,27963
57000,26,64.69,13.73,8.81,255.00,4,0.152051,0.142673,0.142351,0.074558,27938
58000,27,62.11,13.74,8.81,255.00,4,0.151529,0.142407,0.142264,0.074226,27955
59000,20,85.65,13.65,8.75,255.00,4,0.151575,0.142184,0.142184,0.074663,28006
60000,31,55.48,13.77,8.84,255.00,4,0.152124,0.142525,0.142274,0.074325,27918
61000,28,60.50,13.75,8.82,255.00,4,0.151385,0.142459,0.142031,0.075086,28008
62000,25,67.12,13.72,8.80,255.00,4,0.151692,0.142428,0.142249,0.074397,27958
63000,29,56.72,13.76,8.83,255.00,4,0.151223,0.142735,0.142414,0.074470,28038
64000,32,51.12,13.78,8.84,255.00,4,0.151380,0.142469,0.142361,0.074509,27943
65000,18,94.06,13.61,8.72,255.00,4,0.151095,0.142325,0.142039,0.074885,27936
66000,25,66.20,13.72,8.80,255.00,4,0.151710,0.142764,0.142440,0.074015,27724
67000,31,54.35,13.77,8.84,255.00,4,0.151779,0.142429,0.142358,0.074658,28021
68000,27,63.07,13.74,8.81,255.00,4,0.151680,0.142434,0.142719,0.074644,28013
69000,26,64.69,13.73,8.81,255.00,4,0.151476,0.142433,0.142183,0.074380,27978
