tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,8,122.38,13.12,8.38,185.38,17,0.151075,0.148773,0.141592,0.097959,25623
2000,8,122.38,13.12,8.38,183.38,25,0.145751,0.145461,0.137111,0.104911,24192
3000,8,122.38,13.12,8.38,184.38,33,0.145692,0.145280,0.137523,0.103317,24236
4000,9,115.89,13.22,8.44,165.44,40,0.147394,0.144843,0.136945,0.103213,24309
5000,8,122.38,13.12,8.38,139.38,47,0.145698,0.145286,0.137135,0.104776,24290
6000,12,82.17,13.42,8.58,164.92,58,0.147200,0.144807,0.137095,0.101831,24246
7000,8,122.38,13.12,8.38,146.38,70,0.145916,0.145336,0.137177,0.104912,24144
8000,12,82.92,13.42,8.58,164.92,80,0.146086,0.145504,0.136364,0.103083,24068
9000,11,91.45,13.36,8.55,192.36,96,0.145988,0.145572,0.137755,0.104449,24050
10000,7,139.14,13.00,8.29,179.57,105,0.146028,0.145563,0.137336,0.103202,23701
11000,10,99.60,13.30,8.50,192.80,115,0.145863,0.145283,0.136834,0.104614,24146
12000,10,99.60,13.30,8.50,192.80,126,0.145720,0.145390,0.137349,0.104239,24252
13000,9,109.44,13.22,8.44,189.67,137,0.145951,0.145040,0.137132,0.104008,24152
14000,10,99.60,13.30,8.50,195.20,147,0.145137,0.145261,0.137117,0.104419,24191
15000,10,99.60,13.30,8.50,192.80,158,0.145851,0.145438,0.136859,0.104397,24244
16000,11,89.73,13.36,8.55,196.09,169,0.145302,0.144894,0.138644,0.102941,24480
17000,10,99.60,13.30,8.50,192.80,179,0.145624,0.145170,0.137282,0.104655,24213
18000,10,99.60,13.30,8.50,192.80,190,0.145644,0.145273,0.137147,0.104479,24244
19000,10,99.60,13.30,8.50,192.80,201,0.145387,0.145263,0.137296,0.105015,24225
20000,11,93.09,13.36,8.55,194.45,211,0.145603,0.145686,0.137206,0.103903,24292
21000,9,110.11,13.22,8.44,194.78,225,0.147001,0.145006,0.137110,0.104401,24061
22000,10,99.10,13.30,8.50,177.10,241,0.145659,0.145535,0.137272,0.104917,24324
23000,10,99.10,13.30,8.50,177.10,257,0.145132,0.145049,0.136638,0.104181,24371
24000,12,93.08,13.42,8.58,175.33,273,0.145909,0.144964,0.137200,0.103968,24344
25000,10,99.10,13.30,8.50,181.90,289,0.145664,0.145457,0.136918,0.104294,24124
26000,8,122.50,13.12,8.38,177.50,299,0.145169,0.145086,0.136975,0.104200,24165
27000,11,90.73,13.36,8.55,195.27,310,0.147824,0.144878,0.137493,0.103431,24103
28000,12,77.25,13.42,8.58,204.17,321,0.145756,0.145590,0.137101,0.103520,24150
29000,9,110.11,13.22,8.44,190.33,331,0.145641,0.145392,0.137206,0.104587,24066
30000,10,99.10,13.30,8.50,173.10,347,0.146095,0.144896,0.137409,0.104070,24176
31000,8,122.62,13.12,8.38,166.62,363,0.146357,0.144740,0.137238,0.103788,24126
32000,7,139.71,13.00,8.29,128.00,373,0.145883,0.145551,0.137511,0.104314,24129
33000,7,139.71,13.00,8.29,137.14,383,0.145298,0.145175,0.137124,0.104506,24343
34000,9,108.89,13.22,8.44,158.11,393,0.145384,0.145466,0.137898,0.103516,24315
35000,12,95.08,13.42,8.58,168.58,401,0.145621,0.145208,0.137518,0.104234,24186
36000,12,82.92,13.42,8.58,180.92,410,0.145918,0.145178,0.137364,0.104133,24315
37000,9,109.00,13.22,8.44,176.78,421,0.145943,0.144950,0.138826,0.103488,24167
38000,10,98.40,13.30,8.50,177.20,431,0.145608,0.145318,0.136746,0.105065,24147
39000,9,109.22,13.22,8.44,177.00,445,0.145125,0.145456,0.136732,0.104689,24186
40000,9,109.00,13.22,8.44,154.56,461,0.145715,0.145345,0.137277,0.105005,24294
41000,9,109.00,13.22,8.44,154.56,477,0.145771,0.145523,0.137242,0.104075,24271
42000,9,109.00,13.22,8.44,154.56,493,0.145600,0.144942,0.137132,0.104082,24327
43000,8,114.62,13.12,8.38,149.62,508,0.147499,0.145383,0.137414,0.103507,24095
44000,9,109.00,13.22,8.44,129.67,524,0.145969,0.145390,0.137414,0.104145,24197
45000,9,109.00,13.22,8.44,127.89,533,0.145838,0.145219,0.136788,0.104926,24198
46000,9,109.00,13.22,8.44,127.89,543,0.145827,0.145497,0.137206,0.104616,24241
47000,10,100.50,13.30,8.50,134.00,556,0.145611,0.145199,0.137043,0.104461,24277
48000,7,139.71,13.00,8.29,109.71,565,0.146618,0.145121,0.139173,0.101489,24042
49000,8,122.38,13.12,8.38,128.38,573,0.145672,0.145259,0.136998,0.104741,24212
50000,10,110.80,13.30,8.50,146.60,582,0.146707,0.146052,0.136755,0.103702,24416
51000,9,109.00,13.22,8.44,145.67,589,0.147199,0.145903,0.133863,0.103721,23920
52000,11,89.91,13.36,8.55,178.45,598,0.145719,0.145595,0.105315,0.104529,24156
53000,12,83.00,13.42,8.58,181.67,606,0.145763,0.145351,0.102693,0.104505,24286
54000,11,89.91,13.36,8.55,177.73,614,0.145452,0.145287,0.102500,0.104723,24283
55000,11,89.91,13.36,8.55,177.73,622,0.145479,0.145397,0.102720,0.104778,24299
56000,11,90.91,13.36,8.55,174.09,631,0.146543,0.146006,0.104408,0.103250,24184
57000,11,90.00,13.36,8.55,177.82,642,0.145814,0.145690,0.096947,0.104621,24106
58000,12,88.42,13.42,8.58,182.33,656,0.145321,0.145528,0.104037,0.104327,24174
59000,8,116.50,13.12,8.38,183.38,665,0.145936,0.144651,0.136403,0.103743,24127
60000,8,122.38,13.12,8.38,209.38,673,0.145812,0.145187,0.137406,0.104116,24031
61000,9,109.11,13.22,8.44,188.44,682,0.145813,0.145316,0.137206,0.104270,24168
62000,9,109.11,13.22,8.44,188.44,690,0.145840,0.145509,0.137347,0.104077,24136
63000,9,109.11,13.22,8.44,188.44,698,0.145796,0.145257,0.137542,0.104359,24109
64000,9,109.11,13.22,8.44,188.44,706,0.145911,0.145496,0.136571,0.104774,24090
65000,9,109.11,13.22,8.44,188.44,714,0.145745,0.145455,0.137147,0.104410,24193
66000,9,109.11,13.22,8.44,188.44,722,0.145906,0.145326,0.136955,0.104343,24132
67000,9,109.11,13.22,8.44,188.44,730,0.145911,0.145538,0.137277,0.104649,24090
68000,9,109.22,13.22,8.44,189.44,738,0.146373,0.144387,0.137729,0.102324,24178
69000,8,104.62,13.12,8.38,193.00,749,0.145738,0.145449,0.137325,0.104623,24249
70000,9,109.11,13.22,8.44,172.44,758,0.145529,0.144748,0.137103,0.103978,24332
71000,8,104.62,13.12,8.38,204.00,770,0.145360,0.145360,0.137404,0.104671,24257
72000,6,138.83,12.83,8.17,162.67,779,0.146017,0.145479,0.137294,0.102443,24189
73000,6,138.83,12.83,8.17,132.00,787,0.145608,0.145238,0.137338,0.103682,24305
74000,6,138.83,12.83,8.17,140.00,798,0.145556,0.145350,0.137059,0.104888,24245
75000,6,138.83,12.83,8.17,140.00,810,0.145670,0.145464,0.137326,0.104279,24329
76000,6,138.83,12.83,8.17,140.00,819,0.145280,0.145321,0.137149,0.104915,24353
77000,6,138.83,12.83,8.17,140.00,830,0.145399,0.145071,0.137077,0.104448,24395
78000,6,138.83,12.83,8.17,146.67,842,0.146387,0.143958,0.136670,0.121592,23875
79000,6,138.83,12.83,8.17,173.33,854,0.147960,0.141575,0.136226,0.145630,23182
80000,7,139.71,13.00,8.29,85.71,865,0.148802,0.141697,0.136225,0.155907,22661
81000,5,137.60,12.60,8.00,100.80,875,0.153076,0.139948,0.135349,0.205059,20872
82000,1,98.00,7.00,4.00,254.00,0,0.155668,0.144177,0.138742,0.200233,12880
83000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
84000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
85000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
86000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
87000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
88000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
89000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
90000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
91000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
92000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
93000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
94000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
95000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
96000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
97000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
98000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
99000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
100000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
101000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
102000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
103000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
104000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
105000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
106000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
107000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
108000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
109000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
110000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
111000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
112000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
113000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
114000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
115000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
116000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
117000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
118000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
119000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
120000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
121000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
122000,1,98.00,7.00,4.00,254.00,0,0.250000,0.250000,0.250000,0.000000,1000
