tick,population,avg_energy,avg_cell_count,avg_code_count,avg_freshness,max_generation,eat_ratio,digest_ratio,refresh_ratio,divide_ratio,total_instructions
0,20,112.50,10.50,6.50,255.00,0,0.000000,0.000000,0.000000,0.000000,0
1000,8,122.38,13.12,8.38,185.38,17,0.150760,0.148884,0.142003,0.097783,25577
2000,8,122.38,13.12,8.38,183.38,25,0.146205,0.145503,0.136781,0.104745,24192
3000,8,122.38,13.12,8.38,183.38,33,0.145899,0.144783,0.137010,0.104597,24188
4000,9,109.33,13.22,8.44,186.00,41,0.145743,0.145537,0.137168,0.104226,24255
5000,10,98.60,13.30,8.50,187.00,51,0.145990,0.145446,0.136824,0.103298,23892
6000,8,122.88,13.12,8.38,203.88,59,0.145795,0.145421,0.136987,0.104537,24068
7000,10,97.60,13.30,8.50,188.00,67,0.145294,0.144801,0.138677,0.103658,24330
8000,10,99.20,13.30,8.50,188.40,78,0.145319,0.144824,0.137115,0.104465,24257
9000,10,99.20,13.30,8.50,192.40,89,0.145458,0.145416,0.137266,0.104708,24172
10000,9,110.00,13.22,8.44,200.00,99,0.145573,0.145325,0.137389,0.104530,24194
11000,10,100.00,13.30,8.50,203.60,110,0.145958,0.144840,0.137341,0.103824,24137
12000,8,111.88,13.12,8.38,207.00,121,0.145648,0.145233,0.137104,0.105006,24113
13000,10,97.60,13.30,8.50,168.00,131,0.146309,0.145442,0.137098,0.103309,24209
14000,11,96.64,13.36,8.55,160.45,142,0.147387,0.144717,0.137857,0.102777,24344
15000,12,85.58,13.42,8.58,165.33,152,0.146531,0.145208,0.136897,0.104317,24186
16000,10,100.60,13.30,8.50,184.20,163,0.145732,0.145279,0.137460,0.103753,24298
17000,9,104.56,13.22,8.44,186.44,176,0.146305,0.145893,0.137558,0.103107,24237
18000,10,98.80,13.30,8.50,167.20,187,0.145995,0.145583,0.137424,0.103882,24268
19000,10,98.80,13.30,8.50,167.20,198,0.145773,0.145236,0.136972,0.104702,24202
20000,11,91.45,13.36,8.55,170.55,208,0.146296,0.145414,0.137011,0.103483,23801
21000,11,91.45,13.36,8.55,170.55,224,0.146152,0.145410,0.137198,0.104560,24235
22000,11,91.45,13.36,8.55,178.55,240,0.146715,0.145394,0.137135,0.104802,24217
23000,11,91.45,13.36,8.55,187.27,256,0.145936,0.145110,0.137349,0.104983,24223
24000,12,84.75,13.42,8.58,203.42,272,0.146368,0.145411,0.137137,0.104038,24049
25000,9,109.78,13.22,8.44,207.33,281,0.145920,0.145126,0.137562,0.104551,23931
26000,11,90.55,13.36,8.55,172.55,295,0.145548,0.145261,0.137095,0.105006,24370
27000,10,99.40,13.30,8.50,167.80,311,0.145728,0.145315,0.137044,0.104665,24182
28000,11,90.55,13.36,8.55,172.55,327,0.145743,0.145454,0.136985,0.104928,24207
29000,11,90.55,13.36,8.55,174.00,343,0.146189,0.145321,0.137505,0.104876,24181
30000,11,90.55,13.36,8.55,172.55,359,0.145460,0.145377,0.136950,0.105015,24206
31000,11,90.55,13.36,8.55,172.55,375,0.145639,0.145143,0.136420,0.104837,24190
32000,11,90.55,13.36,8.55,172.55,391,0.146424,0.144977,0.136916,0.104713,24190
