round,refresh_diff,eat_diff,pop_diff,refresh_p,refresh_d,g1_refresh,g2_refresh
88,0.033145,-0.012443,-6.50,0.226476,0.4789,0.066510,0.033365
89,0.016714,0.013052,-13.43,0.041250,0.1993,0.063016,0.046301
90,0.045533,0.028070,-3.95,0.006502,1.0272,0.056400,0.010867
91,0.067897,0.042045,-8.37,0.006502,0.9173,0.093690,0.025793
92,0.081425,0.020375,-5.09,0.004072,1.1957,0.091237,0.009812
93,0.049293,0.007437,-9.79,0.012611,0.6573,0.072041,0.022748
94,0.027164,0.022270,-9.49,0.004072,0.3846,0.053156,0.025992
95,0.043337,0.007847,-14.44,0.112411,0.5128,0.075517,0.032180
96,0.049474,-0.018173,-9.91,0.023342,0.7767,0.055738,0.006264
97,0.035258,0.037587,-8.88,0.001940,0.5036,0.061739,0.026481
98,0.054865,0.049633,-4.71,0.010165,0.8699,0.070960,0.016095
99,0.052142,-0.026398,-7.68,0.005159,0.5968,0.088317,0.036175
