tick,population,avg_energy,avg_code_length,avg_age,avg_freshness,total_eat,total_refresh,total_divide,total_instructions,eat_ratio,refresh_ratio,divide_ratio,low_energy_eat_rate,low_freshness_refresh_rate,max_generation
0,20,100.00,5.50,0.00,255.00,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0
1000,20,530.35,5.50,542.70,255.00,5334,5324,1400,23274,0.229183,0.228753,0.060153,0.174161,0.000000,6
2000,20,550.70,5.50,1074.70,255.00,4798,4803,1300,20090,0.238825,0.239074,0.064709,0.000000,0.000000,16
3000,19,602.95,5.37,1735.26,255.00,4657,4666,1165,19167,0.242970,0.243439,0.060782,0.000000,0.000000,25
4000,19,600.63,5.37,2297.37,255.00,4663,4653,1152,19080,0.244392,0.243868,0.060377,0.000000,0.000000,35
5000,19,597.95,5.37,2886.84,255.00,4649,4658,1078,19075,0.243722,0.244194,0.056514,0.000000,0.000000,45
6000,19,610.53,5.37,3542.00,255.00,4646,4647,1008,19063,0.243718,0.243771,0.052877,0.000000,0.000000,54
7000,19,620.21,5.37,4158.84,255.00,4669,4652,1006,19070,0.244835,0.243943,0.052753,0.000000,0.000000,64
8000,19,669.95,5.37,4830.42,255.00,4840,4684,864,19060,0.253935,0.245750,0.045331,0.000000,0.000000,74
9000,19,682.26,5.37,5534.84,255.00,4837,4670,864,19054,0.253857,0.245093,0.045345,0.000000,0.000000,83
10000,19,687.16,5.37,6206.42,255.00,4847,4670,867,19060,0.254302,0.245016,0.045488,0.000000,0.000000,93
11000,19,700.58,5.37,6910.84,255.00,4840,4681,867,19054,0.254015,0.245670,0.045502,0.000000,0.000000,102
12000,19,698.47,5.37,7582.42,255.00,4840,4672,864,19060,0.253935,0.245121,0.045331,0.000000,0.000000,112
13000,19,695.21,5.37,8254.00,255.00,4846,4673,864,19060,0.254250,0.245173,0.045331,0.000000,0.000000,122
14000,19,700.47,5.37,8958.42,255.00,4839,4683,857,19054,0.253962,0.245775,0.044977,0.000000,0.000000,131
15000,19,723.84,5.37,9684.74,255.00,4862,4692,722,19050,0.255223,0.246299,0.037900,0.000000,0.000000,141
16000,19,752.53,5.37,10438.42,255.00,4870,4696,720,19045,0.255710,0.246574,0.037805,0.000000,0.000000,150
17000,19,748.84,5.37,11164.74,255.00,4862,4706,720,19050,0.255223,0.247034,0.037795,0.000000,0.000000,160
18000,19,744.37,5.37,11891.05,255.00,4859,4692,723,19050,0.255066,0.246299,0.037953,0.000000,0.000000,170
19000,19,750.79,5.37,12644.74,255.00,4870,4692,720,19045,0.255710,0.246364,0.037805,0.000000,0.000000,179
20000,19,747.11,5.37,13371.05,255.00,4862,4707,722,19050,0.255223,0.247087,0.037900,0.000000,0.000000,189
21000,19,743.58,5.37,14097.37,255.00,4861,4694,720,19050,0.255171,0.246404,0.037795,0.000000,0.000000,199
22000,22,652.18,5.73,12828.73,255.00,4896,4703,727,19107,0.256241,0.246140,0.038049,0.131148,0.000000,210
23000,100,969.49,7.50,3743.09,255.00,25993,15219,11199,92537,0.280893,0.164464,0.121022,0.444234,0.000000,216
24000,100,980.12,7.50,4743.09,255.00,28135,16268,12284,100000,0.281350,0.162680,0.122840,0.000000,0.000000,216
25000,100,992.34,7.50,5743.09,255.00,28165,16264,12277,100000,0.281650,0.162640,0.122770,0.000000,0.000000,216
26000,100,997.48,7.50,6743.09,255.00,28155,16268,12291,100000,0.281550,0.162680,0.122910,0.000000,0.000000,216
27000,100,997.77,7.50,7743.09,255.00,28143,16248,12296,100000,0.281430,0.162480,0.122960,0.000000,0.000000,216
28000,100,997.79,7.50,8743.09,255.00,28139,16257,12291,100000,0.281390,0.162570,0.122910,0.000000,0.000000,216
29000,100,715.23,7.50,9743.09,255.00,28131,16261,12285,100000,0.281310,0.162610,0.122850,0.000000,0.000000,216
30000,40,339.75,6.75,11852.48,255.00,23723,14097,10004,84435,0.280962,0.166957,0.118482,0.298655,0.000000,216
31000,34,403.12,6.53,11649.65,255.00,10563,7155,3266,36128,0.292377,0.198046,0.090401,0.337710,0.000000,219
32000,34,402.38,6.53,12057.79,255.00,10585,7204,3268,36263,0.291895,0.198660,0.090119,0.333937,0.000000,222
33000,35,388.23,6.57,12029.74,255.00,10549,7172,3246,36152,0.291796,0.198385,0.089788,0.336024,0.000000,225
34000,36,377.72,6.61,12086.28,255.00,10606,7187,3274,36246,0.292612,0.198284,0.090327,0.335651,0.000000,228
35000,35,386.31,6.57,12821.89,255.00,10580,7192,3268,36185,0.292386,0.198756,0.090314,0.337710,0.000000,232
36000,34,398.68,6.53,13538.82,255.00,10562,7171,3254,36127,0.292358,0.198494,0.090071,0.337503,0.000000,236
37000,35,412.63,6.57,13621.74,255.00,10448,7104,3049,35674,0.292874,0.199137,0.085468,0.336600,0.000000,239
38000,37,389.70,6.65,13371.32,255.00,10690,7252,3171,36535,0.292596,0.198495,0.086793,0.340912,0.000000,242
39000,41,350.51,6.78,12506.37,255.00,10674,7225,3169,36492,0.292502,0.197989,0.086841,0.337497,0.000000,243
40000,33,438.33,6.48,16018.73,255.00,10684,7236,3161,36514,0.292600,0.198171,0.086570,0.332574,0.000000,243
41000,36,401.47,6.61,14784.72,255.00,10696,7251,3182,36603,0.292216,0.198099,0.086933,0.334953,0.000000,245
42000,35,411.37,6.57,15618.37,255.00,10655,7207,3145,36395,0.292760,0.198022,0.086413,0.335240,0.000000,247
43000,34,424.03,6.53,16571.91,255.00,10687,7223,3164,36508,0.292730,0.197847,0.086666,0.332983,0.000000,248
44000,36,399.11,6.61,16167.50,255.00,10686,7238,3171,36504,0.292735,0.198280,0.086867,0.334626,0.000000,251
45000,38,378.87,6.68,15734.79,255.00,10678,7229,3163,36475,0.292748,0.198191,0.086717,0.338507,0.000000,252
46000,37,387.32,6.65,16400.73,255.00,10705,7235,3181,36559,0.292814,0.197899,0.087010,0.337193,0.000000,254
47000,42,339.10,6.81,14640.10,255.00,10651,7225,3152,36390,0.292690,0.198544,0.086617,0.338128,0.000000,258
48000,33,437.88,6.48,19142.12,255.00,10642,7206,3159,36403,0.292339,0.197951,0.086779,0.335138,0.000000,259
49000,37,386.78,6.65,17510.41,255.00,10703,7236,3174,36526,0.293024,0.198105,0.086897,0.338778,0.000000,262
50000,36,397.36,6.61,18535.56,255.00,10671,7238,3158,36458,0.292693,0.198530,0.086620,0.342692,0.000000,263
51000,36,397.42,6.61,18985.00,255.00,10675,7221,3165,36483,0.292602,0.197928,0.086753,0.336800,0.000000,264
52000,35,408.09,6.57,20058.57,255.00,10686,7236,3167,36528,0.292543,0.198095,0.086701,0.334138,0.000000,263
53000,35,410.20,6.57,20486.29,255.00,10646,7217,3158,36406,0.292424,0.198237,0.086744,0.339345,0.000000,263
54000,38,373.79,6.68,19184.45,255.00,10665,7217,3165,36449,0.292601,0.198003,0.086834,0.341125,0.000000,263
