group,seed,survived,avg_pop,avg_energy,eat_ratio,refresh_ratio,divide_ratio
C_realcpu_d200,218,true,21.32,30.79,0.363864,0.121410,0.105637
C_realcpu_d200,219,true,3.00,98.00,0.249004,0.249004,0.000000
C_realcpu_d200,220,true,2.00,97.81,0.249004,0.249004,0.000000
C_realcpu_d200,221,true,1.00,97.99,0.249004,0.249004,0.000000
C_realcpu_d200,222,true,4.00,96.99,0.404631,0.249004,0.000000
C_realcpu_d200,223,true,25.59,17.70,0.185335,0.079112,0.143250
C_realcpu_d200,224,true,19.80,43.38,0.169599,0.165885,0.118288
C_realcpu_d200,225,true,25.00,22.01,0.269878,0.010327,0.104273
C_realcpu_d200,226,true,3.25,92.79,0.211995,0.197301,0.007879
C_realcpu_d200,227,true,3.00,98.00,0.249004,0.249004,0.000000
C_realcpu_d200,228,true,21.12,30.93,0.409558,0.035313,0.087007
C_realcpu_d200,229,true,24.35,19.16,0.390288,0.011102,0.126392
D_square_d0,200,true,21.02,27.22,0.322596,0.024843,0.098434
D_square_d0,201,true,21.62,22.88,0.252989,0.023727,0.117243
D_square_d0,202,true,20.39,25.13,0.416490,0.025514,0.106224
D_square_d0,203,true,18.28,32.24,0.151350,0.256953,0.099297
D_square_d0,204,true,20.84,24.63,0.284226,0.031295,0.114857
D_square_d0,205,true,19.51,31.95,0.339406,0.213840,0.080930
D_square_d0,206,true,19.36,29.83,0.373862,0.049221,0.083920
D_square_d0,207,true,2.00,98.00,0.249004,0.249004,0.000000
D_square_d0,208,true,2.00,98.00,0.249004,0.249004,0.000000
D_square_d0,209,true,21.28,43.76,0.252950,0.219089,0.075414
D_square_d0,210,true,17.58,31.86,0.311107,0.073996,0.090063
D_square_d0,211,true,2.00,98.00,0.249004,0.249004,0.000000
D_square_d0,212,true,16.08,47.48,0.361714,0.106884,0.085323
D_square_d0,213,true,3.00,96.33,0.207503,0.249004,0.000000
D_square_d0,214,true,4.00,96.99,0.297422,0.242087,0.000000
D_square_d0,215,true,22.73,27.62,0.344553,0.200708,0.085792
D_square_d0,216,true,19.53,27.97,0.297434,0.026453,0.089625
D_square_d0,217,true,21.06,20.41,0.382810,0.025078,0.171650
D_square_d0,218,true,2.00,98.00,0.249004,0.249004,0.000000
D_square_d0,219,true,20.34,22.33,0.423468,0.100674,0.122386
D_square_d0,220,true,20.20,27.10,0.261000,0.078111,0.090390
