round,seed,a_eat,e_eat,f_eat,ae_diff,af_diff,a_pop,e_pop,f_pop,a_surv,e_surv,f_surv
65,34928,0.350782,0.249004,0.249004,0.101778,0.101778,22.53,1.00,3.00,true,true,true
66,35005,0.300895,0.323120,0.249004,-0.022225,0.051891,21.59,9.80,3.00,true,true,true
67,35082,0.249004,0.340231,0.249004,-0.091227,0.000000,2.00,6.04,3.00,true,true,true
68,35159,0.258772,0.249004,0.249004,0.009768,0.009768,20.67,3.00,3.00,true,true,true
69,35236,0.249004,0.186753,0.249004,0.062251,0.000000,2.00,2.00,3.00,true,true,true
70,35313,0.249004,0.186753,0.375223,0.062251,-0.126219,3.00,2.00,30.46,true,true,true
71,35390,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,3.00,3.00,true,true,true
72,35467,0.386721,0.249004,0.363412,0.137717,0.023310,21.68,3.00,17.48,true,true,true
73,35544,0.249004,0.354802,0.249004,-0.105798,0.000000,2.00,24.15,3.00,true,true,true
74,35621,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,3.00,3.00,true,true,true
75,35698,0.485822,0.249004,0.249004,0.236818,0.236818,20.75,1.00,3.00,true,true,true
76,35775,0.207503,0.154692,0.249004,0.052811,-0.041501,3.00,26.29,3.00,true,true,true
77,35852,0.249004,0.312374,0.249004,-0.063370,0.000000,2.00,23.50,3.00,true,true,true
78,35929,0.369601,0.249004,0.249004,0.120597,0.120597,18.71,3.00,3.00,true,true,true
79,36006,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,1.00,2.00,true,true,true
80,36083,0.164353,0.249004,0.249004,-0.084651,-0.084651,22.02,2.00,3.00,true,true,true
81,36160,0.368070,0.154052,0.249004,0.214018,0.119066,20.52,26.42,3.00,true,true,true
82,36237,0.249004,0.135264,0.249004,0.113740,0.000000,2.00,26.55,3.00,true,true,true
83,36314,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,3.00,3.00,true,true,true
84,36391,0.221336,0.251612,0.249004,-0.030276,-0.027668,3.00,21.69,3.00,true,true,true
85,36468,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,4.00,3.00,true,true,true
86,36545,0.374833,0.249004,0.249004,0.125829,0.125829,20.03,3.00,3.00,true,true,true
87,36622,0.159589,0.369539,0.249004,-0.209950,-0.089415,24.49,21.37,3.00,true,true,true
88,36699,0.249004,0.350763,0.249004,-0.101759,0.000000,2.00,23.01,3.00,true,true,true
89,36776,0.381664,0.371774,0.249004,0.009890,0.132660,21.09,23.82,3.00,true,true,true
90,36853,0.420318,0.257748,0.249004,0.162570,0.171314,20.12,25.55,3.00,true,true,true
91,36930,0.405054,0.388836,0.249004,0.016218,0.156050,21.56,20.01,3.00,true,true,true
92,37007,0.249004,0.154325,0.249004,0.094679,0.000000,2.00,26.35,3.00,true,true,true
93,37084,0.249004,0.281798,0.249004,-0.032794,0.000000,2.00,21.69,3.00,true,true,true
94,37161,0.355923,0.249004,0.249004,0.106919,0.106919,20.68,1.00,3.00,true,true,true
95,37238,0.249004,0.261873,0.249004,-0.012869,0.000000,2.00,26.00,3.00,true,true,true
96,37315,0.238733,0.258720,0.249004,-0.019988,-0.010271,19.24,24.23,3.00,true,true,true
97,37392,0.249004,0.365495,0.249004,-0.116491,0.000000,2.00,23.88,3.00,true,true,true
98,37469,0.249004,0.249004,0.249004,0.000000,0.000000,2.00,2.00,3.00,true,true,true
99,37546,0.207503,0.412935,0.249004,-0.205431,-0.041501,3.00,23.19,3.00,true,true,true
100,37623,0.249004,0.367578,0.249004,-0.118574,0.000000,2.00,3.00,3.00,true,true,true
