seed,group,survived,pop,energy,refresh,eat,divide
9043,exp,true,29.78,30.41,0.124361,0.184268,0.052023
9043,ctrl,true,31.13,30.29,0.014435,0.269166,0.020640
9044,exp,true,9.00,94.83,0.226134,0.226134,0.000000
9044,ctrl,true,32.77,28.76,0.013871,0.297123,0.021335
9045,exp,true,28.95,28.98,0.016643,0.248626,0.021190
9045,ctrl,true,40.59,24.51,0.002263,0.248446,0.022929
9046,exp,true,26.68,30.94,0.026569,0.267587,0.020123
9046,ctrl,true,27.80,32.96,0.008064,0.213298,0.019061
9047,exp,true,23.93,25.97,0.026745,0.512427,0.147168
9047,ctrl,true,26.92,31.67,0.024130,0.295798,0.020149
9048,exp,true,24.50,37.91,0.135889,0.320143,0.060286
9048,ctrl,true,16.47,60.52,0.192508,0.204074,0.035488
9049,exp,true,29.14,28.99,0.073216,0.243386,0.035904
9049,ctrl,true,39.86,24.74,0.000094,0.300036,0.022692
9050,exp,true,25.02,46.58,0.210382,0.129351,0.050904
9050,ctrl,true,21.20,43.21,0.080047,0.197782,0.015746
9051,exp,true,9.00,94.57,0.226134,0.213910,0.000000
9051,ctrl,true,34.78,26.38,0.006383,0.300113,0.022101
9052,exp,true,8.00,95.88,0.216584,0.216584,0.000000
9052,ctrl,true,41.17,24.64,0.025150,0.320070,0.066520
9053,exp,true,3.00,96.68,0.229190,0.229189,0.000000
9053,ctrl,true,40.08,25.01,0.000585,0.298508,0.022690
9054,exp,true,14.61,54.76,0.127159,0.219937,0.039044
9054,ctrl,true,26.50,34.68,0.033868,0.280532,0.019253
9055,exp,true,20.30,43.60,0.067359,0.256124,0.015641
9055,ctrl,true,29.26,31.09,0.020847,0.292066,0.020376
9056,exp,true,12.29,53.57,0.151035,0.304017,0.030087
9056,ctrl,true,30.94,30.54,0.007361,0.248705,0.020308
9057,exp,true,23.32,35.48,0.037437,0.263842,0.018734
9057,ctrl,true,33.68,28.50,0.013375,0.248871,0.021353
9058,exp,true,27.10,33.06,0.168358,0.237758,0.057257
9058,ctrl,false,0.00,0.00,0.000000,0.000000,0.000000
9059,exp,true,7.00,96.18,0.223951,0.208235,0.000000
9059,ctrl,true,26.99,36.44,0.275711,0.235420,0.057119
9060,exp,true,20.93,40.07,0.055759,0.277645,0.017111
9060,ctrl,true,26.37,34.60,0.034226,0.280765,0.019195
9061,exp,true,27.81,32.05,0.009059,0.202977,0.018410
