seed,group,refresh_ratio,eat_ratio,divide_ratio,population,avg_energy
1095,exp,0.145277,0.231906,0.089793,100.44,25.78
1096,exp,0.175465,0.324267,0.036178,40.16,69.65
1097,exp,0.045537,0.330450,0.092251,103.10,30.51
1098,exp,0.227345,0.152629,0.098622,151.97,24.52
1099,exp,0.194723,0.382824,0.179343,107.93,21.85
1000,ctrl,0.139128,0.150711,0.082303,137.49,48.36
1001,ctrl,0.139727,0.151780,0.081756,130.07,49.56
1002,ctrl,0.139925,0.150609,0.083786,137.05,47.76
1003,ctrl,0.140740,0.151408,0.082432,138.43,48.47
1004,ctrl,0.137125,0.151666,0.080668,133.33,50.93
1005,ctrl,0.137787,0.150984,0.081727,139.15,48.89
1006,ctrl,0.135400,0.153849,0.083739,136.63,47.86
1007,ctrl,0.137218,0.152473,0.082316,137.88,49.09
1008,ctrl,0.137746,0.150801,0.082711,136.15,47.96
1009,ctrl,0.137978,0.150268,0.081650,138.45,49.13
1010,ctrl,0.139505,0.149074,0.081190,140.07,48.63
1011,ctrl,0.138153,0.152028,0.082307,137.59,49.49
1012,ctrl,0.136814,0.152044,0.083579,135.74,47.81
1013,ctrl,0.136885,0.155746,0.083175,133.96,48.47
1014,ctrl,0.136819,0.153810,0.082916,136.73,48.51
1015,ctrl,0.137701,0.150358,0.082511,138.79,48.20
1016,ctrl,0.134255,0.154918,0.077293,125.62,54.95
1017,ctrl,0.137872,0.152652,0.082352,137.70,48.87
1018,ctrl,0.139564,0.153548,0.083052,137.03,48.15
1019,ctrl,0.139564,0.152523,0.081973,136.27,49.32
1020,ctrl,0.137629,0.152698,0.082900,136.49,48.08
1021,ctrl,0.139416,0.156188,0.081630,129.20,50.91
1022,ctrl,0.138462,0.151153,0.078024,124.77,51.83
1023,ctrl,0.138603,0.153263,0.081694,138.92,48.57
1024,ctrl,0.139715,0.148140,0.081338,140.92,49.06
1025,ctrl,0.138371,0.151445,0.083626,135.86,47.38
1026,ctrl,0.138384,0.151024,0.081681,138.67,49.56
1027,ctrl,0.139522,0.153354,0.082347,137.91,48.47
1028,ctrl,0.139430,0.151979,0.076983,121.05,52.70
1029,ctrl,0.140369,0.152878,0.076871,120.45,54.11
1030,ctrl,0.135491,0.146809,0.080433,140.42,49.99
1031,ctrl,0.136481,0.155370,0.084440,135.39,47.35
1032,ctrl,0.140696,0.150140,0.079502,135.14,51.52
1033,ctrl,0.136538,0.155193,0.083182,134.11,48.08
1034,ctrl,0.137430,0.152046,0.082983,136.94,48.27
1035,ctrl,0.139434,0.149434,0.081712,139.26,49.61
1036,ctrl,0.137833,0.153763,0.081969,136.56,48.98
1037,ctrl,0.141196,0.151618,0.081937,135.88,48.73
1038,ctrl,0.136995,0.149272,0.081663,138.55,49.49
1039,ctrl,0.138008,0.151838,0.082363,137.90,49.12
1040,ctrl,0.138933,0.153701,0.083421,139.61,46.50
1041,ctrl,0.138333,0.152497,0.083827,137.08,47.70
1042,ctrl,0.136468,0.151670,0.083659,136.21,47.84
1043,ctrl,0.136382,0.153375,0.082342,137.63,48.46
1044,ctrl,0.139381,0.152180,0.082270,137.41,49.65
1045,ctrl,0.135659,0.151887,0.082662,135.55,48.73
1046,ctrl,0.139885,0.150276,0.078738,131.05,52.95
1047,ctrl,0.140184,0.150964,0.082924,136.96,48.24
1048,ctrl,0.140478,0.151209,0.082286,137.52,48.86
1049,ctrl,0.137300,0.152323,0.082233,137.45,48.94
1050,ctrl,0.136898,0.153149,0.082953,136.82,48.25
1051,ctrl,0.136237,0.154973,0.084258,135.05,46.81
1052,ctrl,0.139199,0.155107,0.082452,129.80,49.60
1053,ctrl,0.133476,0.156106,0.077117,118.14,53.80
1054,ctrl,0.138895,0.150653,0.083731,136.42,47.72
1055,ctrl,0.134919,0.152669,0.082350,137.62,48.71
1056,ctrl,0.138663,0.153646,0.083733,136.24,47.76
1057,ctrl,0.140007,0.151694,0.082428,138.43,48.52
1058,ctrl,0.132536,0.154135,0.078516,123.27,51.53
1059,ctrl,0.137865,0.151030,0.083187,137.99,48.03
1060,ctrl,0.136952,0.150638,0.082470,138.42,48.65
1061,ctrl,0.135727,0.153124,0.082920,136.51,48.44
1062,ctrl,0.136649,0.178436,0.086157,140.90,41.97
1063,ctrl,0.141125,0.152053,0.082738,136.33,48.38
1064,ctrl,0.141174,0.149711,0.080970,139.02,50.00
1065,ctrl,0.139270,0.151039,0.082540,138.87,48.53
1066,ctrl,0.139267,0.155594,0.081811,130.22,50.14
1067,ctrl,0.136711,0.152551,0.082207,137.17,49.13
1068,ctrl,0.135013,0.153639,0.083560,131.08,48.48
1069,ctrl,0.138762,0.152978,0.083115,137.41,48.58
1070,ctrl,0.138766,0.153673,0.083582,135.72,47.73
1071,ctrl,0.133829,0.152773,0.083547,135.37,48.30
1072,ctrl,0.136866,0.150807,0.083053,138.52,48.07
1073,ctrl,0.135883,0.153699,0.084355,135.06,47.13
1074,ctrl,0.141741,0.152384,0.080443,132.51,50.86
1075,ctrl,0.132718,0.153460,0.083387,135.24,48.04
1076,ctrl,0.137349,0.155560,0.080237,126.60,52.26
1077,ctrl,0.138927,0.154644,0.078051,117.70,53.20
1078,ctrl,0.138785,0.149307,0.081678,138.39,49.10
1079,ctrl,0.136839,0.152906,0.082376,137.96,48.89
1080,ctrl,0.139202,0.152049,0.082978,136.85,48.46
1081,ctrl,0.138186,0.151049,0.082153,137.03,49.55
1082,ctrl,0.139968,0.150821,0.083751,136.60,48.05
1083,ctrl,0.136480,0.155219,0.084124,133.48,47.78
1084,ctrl,0.138288,0.157959,0.069510,101.92,62.89
1085,ctrl,0.136830,0.152017,0.081974,136.22,48.87
1086,ctrl,0.137214,0.153135,0.083606,135.92,48.08
1087,ctrl,0.136583,0.149956,0.081668,138.57,48.80
1088,ctrl,0.138621,0.154817,0.077762,122.99,55.03
1089,ctrl,0.106506,0.181928,0.086342,134.99,42.80
1090,ctrl,0.133365,0.152461,0.082978,137.23,48.35
1091,ctrl,0.136263,0.150831,0.082527,138.72,48.81
1092,ctrl,0.136241,0.154435,0.083599,135.88,47.91
1093,ctrl,0.136692,0.150137,0.081809,139.60,48.92
1094,ctrl,0.135067,0.154146,0.084394,136.01,47.40
1095,ctrl,0.137518,0.147948,0.080234,139.74,49.82
1096,ctrl,0.136786,0.152933,0.083102,137.40,48.04
1097,ctrl,0.136926,0.150711,0.076645,119.56,54.72
1098,ctrl,0.135296,0.156371,0.078836,121.95,51.80
1099,ctrl,0.137053,0.151083,0.083742,136.95,47.52
